"Story","Title","Result","Date","Stability","Duration (s)"
"Login Exitoso","Iniciar sesión de forma exitosa","SUCCESS","2022-02-18T10:30:31.1253693-05:00[America/Bogota]","0.0","7.48"
"Iniciar Sesión","Iniciar sesión de forma exitosa","SUCCESS","2022-02-22T18:00:26.7605881-05:00[America/Bogota]","0.0","14.56"
