"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar Sesión","Iniciar sesión de forma exitosa","ERROR","2022-03-03T15:21:32.9599206-05:00[America/Bogota]","0.0","1.32"
"Registrar usuario","Registro de usuario exitoso","ERROR","2022-03-02T17:25:51.6572516-05:00[America/Bogota]","0.0","0.42"
