"Story","Title","Result","Date","Stability","Duration (s)"
"Login Exitoso","Iniciar sesión de forma exitosa","SUCCESS","2022-02-18T10:30:31.1253693-05:00[America/Bogota]","0.0","7.48"
"Iniciar Sesión","Iniciar sesión de forma exitosa","FAILURE","2022-02-22T17:55:29.8704822-05:00[America/Bogota]","0.0","0.59"
